,Index,Close Price,Tax,Profit,Order
0,1,266000.0,957,0.0,BUY
1,2,291000.0,1338,22705.0,SELL
2,3,255000.0,918,0.0,BUY
3,4,290000.0,1334,32748.0,SELL
4,5,268000.0,964,0.0,BUY
5,6,285000.0,1311,14725.0,SELL
6,7,942500.0,3393,0.0,BUY
7,8,1072500.0,4933,121674.0,SELL
8,9,1000000.0,3600,0.0,BUY
9,10,1037500.0,4772,29128.0,SELL
10,11,1292500.0,4653,0.0,BUY
11,12,1512500.0,6957,208390.0,SELL
12,13,1635000.0,5886,0.0,BUY
13,14,1585000.0,7291,-63177.0,SELL
14,15,1530000.0,5508,0.0,BUY
15,16,1402500.0,6451,-139459.0,SELL
16,17,1470000.0,5292,0.0,BUY
17,18,1750000.0,8050,266658.0,SELL
18,19,1600000.0,5760,0.0,BUY
19,20,1907500.0,8774,292966.0,SELL
20,21,1710000.0,6156,0.0,BUY
21,22,1647500.0,7578,-76234.0,SELL
22,23,1485000.0,5346,0.0,BUY
