,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,CMF,MACD_line,MACD_histogram,MACD_signal
0,2020-05-06 09:00:00+07:00,10100.0,36,10136.0,0.0,BUY,0.024758331516685373,-0.18347019441213774,-0.48208083501298266,0.2986106406008449
1,2020-07-03 14:00:00+07:00,10000.0,46,10136.0,-182.0,SELL,-0.0015255863721016815,0.2512924910100196,0.5773473889113586,-0.326054897901339
2,2020-07-08 09:00:00+07:00,9800.0,35,9835.0,0.0,BUY,0.07533570168851454,-0.021089747262308833,-0.24981705928609824,0.2287273120237894
3,2020-09-15 10:00:00+07:00,8600.0,39,9835.0,-1274.0,SELL,-0.11382817180088105,0.025742885300374496,0.8246220751189957,-0.7988791898186212
4,2020-09-30 10:00:00+07:00,7500.0,27,7527.0,0.0,BUY,0.10834425072861864,-0.07444908494950653,-0.007223298784720444,-0.06722578616478608
5,2020-10-01 09:00:00+07:00,7900.0,36,7527.0,337.0,SELL,-0.0840256514569338,0.025323649767202028,0.15023243050328458,-0.12490878073608255
6,2020-10-16 11:00:00+07:00,8300.0,29,8329.0,0.0,BUY,0.12454165408446127,-0.000742586540795287,-0.1611569089802924,0.1604143224394971
7,2020-10-19 11:00:00+07:00,8500.0,39,8329.0,132.0,SELL,-0.0938026792795192,0.004864583981486703,0.047688158487317986,-0.04282357450583128
8,2020-11-06 09:00:00+07:00,6500.0,23,6523.0,0.0,BUY,0.08210626911433018,-1.1121747417199686,-0.023996051653650596,-1.088178690066318
9,2020-11-12 14:00:00+07:00,6500.0,29,6523.0,-52.0,SELL,-0.03412006846582848,0.01698088921058627,0.12054696404222322,-0.10356607483163695
10,2020-12-17 15:00:00+07:00,7200.0,25,7225.0,0.0,BUY,0.002563108919040123,-0.5362603553198966,-0.41906560055540765,-0.11719475476448893
11,2021-02-08 11:00:00+07:00,5900.0,27,7225.0,-1352.0,SELL,-0.057888537838244415,0.03071075446978,0.14897456473877532,-0.11826381026899532
12,2021-02-22 10:00:00+07:00,6000.0,21,6021.0,0.0,BUY,0.25371167950867246,-0.03524963636543532,-0.5672671896840602,0.5320175533186249
13,2021-02-23 11:00:00+07:00,6300.0,28,6021.0,251.0,SELL,-0.08969876811779673,0.06729745195420378,0.02417656643226756,0.04312088552193622
14,2021-03-16 14:00:00+07:00,8800.0,31,8831.0,0.0,BUY,0.017501346532298404,-0.10283606348578189,-0.7023146069395096,0.5994785434537278
15,2021-04-05 09:00:00+07:00,8100.0,37,8831.0,-768.0,SELL,-0.2977966079382366,0.024900620944649177,0.4126819421257175,-0.38778132118106834
16,2021-04-23 10:00:00+07:00,8200.0,29,8229.0,0.0,BUY,0.0015532420009197957,-1.4341667996946086,-1.0146750933548259,-0.4194917063397827
17,2021-05-20 10:00:00+07:00,8300.0,38,8229.0,33.0,SELL,-0.3055268091135671,0.11381100691392021,0.7475510203512878,-0.6337400134373676
18,2021-09-02 10:00:00+07:00,12500.0,45,12545.0,0.0,BUY,0.05824577476774347,-1.091544711664568,-0.5048463561917996,-0.5866983554727684
19,2021-10-26 10:00:00+07:00,9400.0,43,12545.0,-3188.0,SELL,-0.11712379004583794,0.15815918963343734,1.4281318573509554,-1.269972667717518
20,2021-11-26 13:00:00+07:00,9100.0,32,9132.0,0.0,BUY,0.004913861489516206,-1.7671543688402096,-0.05697612536171581,-1.7101782434784938
21,2021-12-27 10:00:00+07:00,8700.0,40,9132.0,-472.0,SELL,-0.18002611082669334,0.041901667351424976,0.24709063954904448,-0.2051889721976195
22,2022-01-06 09:00:00+07:00,8600.0,30,8630.0,0.0,BUY,0.19283668551789526,-0.05309003385173128,-0.4063244908598565,0.3532344570081252
23,2022-02-08 10:00:00+07:00,8400.0,38,8630.0,-268.0,SELL,-0.050907891854379245,0.5724814297063858,0.3699535105253095,0.20252791918107632
24,2022-02-14 13:00:00+07:00,8300.0,29,8329.0,0.0,BUY,0.004709768384456776,-0.018787498508658018,-0.5418908583435404,0.5231033598348824
25,2022-03-10 11:00:00+07:00,8000.0,36,8329.0,-365.0,SELL,-0.29017020013077377,0.0537031057634465,0.4428019391731588,-0.3890988334097123
26,2022-03-23 14:00:00+07:00,7700.0,27,7727.0,0.0,BUY,0.3349490852408154,-0.5576648479923705,-0.12065148737052472,-0.43701336062184576
27,2022-04-07 13:00:00+07:00,7800.0,35,7727.0,38.0,SELL,-0.12638763890511218,0.401843030343656,0.014540413751036485,0.3873026165926195
